areaCode,areaName,areaType,date,hospitalCases
E92000001,England,nation,3/29/2023,7963
E92000001,England,nation,3/28/2023,8080
E92000001,England,nation,3/27/2023,8316
E92000001,England,nation,3/26/2023,8265
E92000001,England,nation,3/25/2023,8234
E92000001,England,nation,3/24/2023,8304
E92000001,England,nation,3/23/2023,8403
E92000001,England,nation,3/22/2023,8387
E92000001,England,nation,3/21/2023,8576
E92000001,England,nation,3/20/2023,8631
E92000001,England,nation,3/19/2023,8441
E92000001,England,nation,3/18/2023,8339
E92000001,England,nation,3/17/2023,8340
E92000001,England,nation,3/16/2023,8378
E92000001,England,nation,3/15/2023,8434
E92000001,England,nation,3/14/2023,8362
E92000001,England,nation,3/13/2023,8253
E92000001,England,nation,3/12/2023,7989
E92000001,England,nation,3/11/2023,7866
E92000001,England,nation,3/10/2023,7935
E92000001,England,nation,3/9/2023,7619
E92000001,England,nation,3/8/2023,7655
E92000001,England,nation,3/7/2023,7588
E92000001,England,nation,3/6/2023,7572
E92000001,England,nation,3/5/2023,7470
E92000001,England,nation,3/4/2023,7330
E92000001,England,nation,3/3/2023,7468
E92000001,England,nation,3/2/2023,7522
E92000001,England,nation,3/1/2023,7507
E92000001,England,nation,2/28/2023,7598
E92000001,England,nation,2/27/2023,7622
E92000001,England,nation,2/26/2023,7580
E92000001,England,nation,2/25/2023,7486
E92000001,England,nation,2/24/2023,7598
E92000001,England,nation,2/23/2023,8107
E92000001,England,nation,2/22/2023,8015
E92000001,England,nation,2/21/2023,7906
E92000001,England,nation,2/20/2023,7919
E92000001,England,nation,2/19/2023,7665
E92000001,England,nation,2/18/2023,7484
E92000001,England,nation,2/17/2023,7371
E92000001,England,nation,2/16/2023,7277
E92000001,England,nation,2/15/2023,7209
E92000001,England,nation,2/14/2023,7031
E92000001,England,nation,2/13/2023,6953
E92000001,England,nation,2/12/2023,6725
E92000001,England,nation,2/11/2023,6473
E92000001,England,nation,2/10/2023,6455
E92000001,England,nation,2/9/2023,6403
E92000001,England,nation,2/8/2023,6382
E92000001,England,nation,2/7/2023,6405
E92000001,England,nation,2/6/2023,6484
E92000001,England,nation,2/5/2023,6332
E92000001,England,nation,2/4/2023,6203
E92000001,England,nation,2/3/2023,6288
E92000001,England,nation,2/2/2023,6197
E92000001,England,nation,2/1/2023,6055
E92000001,England,nation,1/31/2023,6015
E92000001,England,nation,1/30/2023,5959
E92000001,England,nation,1/29/2023,5834
E92000001,England,nation,1/28/2023,5750
E92000001,England,nation,1/27/2023,5708
E92000001,England,nation,1/26/2023,5683
E92000001,England,nation,1/25/2023,5632
E92000001,England,nation,1/24/2023,5639
E92000001,England,nation,1/23/2023,5817
E92000001,England,nation,1/22/2023,5697
E92000001,England,nation,1/21/2023,5706
E92000001,England,nation,1/20/2023,5888
E92000001,England,nation,1/19/2023,5996
E92000001,England,nation,1/18/2023,6299
E92000001,England,nation,1/17/2023,6593
E92000001,England,nation,1/16/2023,6721
E92000001,England,nation,1/15/2023,6780
E92000001,England,nation,1/14/2023,6863
E92000001,England,nation,1/13/2023,7164
E92000001,England,nation,1/12/2023,7421
E92000001,England,nation,1/11/2023,7743
E92000001,England,nation,1/10/2023,8034
E92000001,England,nation,1/9/2023,8368
E92000001,England,nation,1/8/2023,8396
E92000001,England,nation,1/7/2023,8547
E92000001,England,nation,1/6/2023,8671
E92000001,England,nation,1/5/2023,9072
E92000001,England,nation,1/4/2023,9332
E92000001,England,nation,1/3/2023,9291
E92000001,England,nation,1/2/2023,9431
E92000001,England,nation,1/1/2023,9417
E92000001,England,nation,12/31/2022,9360
