areaCode,areaName,areaType,date,hospitalCases
N92000002,Northern Ireland,nation,2023-03-23,217
N92000002,Northern Ireland,nation,2023-03-22,241
N92000002,Northern Ireland,nation,2023-03-21,252
N92000002,Northern Ireland,nation,2023-03-20,244
N92000002,Northern Ireland,nation,2023-03-19,240
N92000002,Northern Ireland,nation,2023-03-18,232
N92000002,Northern Ireland,nation,2023-03-17,227
N92000002,Northern Ireland,nation,2023-03-16,233
N92000002,Northern Ireland,nation,2023-03-15,248
N92000002,Northern Ireland,nation,2023-03-14,246
N92000002,Northern Ireland,nation,2023-03-13,244
N92000002,Northern Ireland,nation,2023-03-12,242
N92000002,Northern Ireland,nation,2023-03-11,244
N92000002,Northern Ireland,nation,2023-03-10,247
N92000002,Northern Ireland,nation,2023-03-09,256
N92000002,Northern Ireland,nation,2023-03-08,261
N92000002,Northern Ireland,nation,2023-03-07,270
N92000002,Northern Ireland,nation,2023-03-06,266
N92000002,Northern Ireland,nation,2023-03-05,270
N92000002,Northern Ireland,nation,2023-03-04,266
N92000002,Northern Ireland,nation,2023-03-03,260
N92000002,Northern Ireland,nation,2023-03-02,258
N92000002,Northern Ireland,nation,2023-03-01,261
N92000002,Northern Ireland,nation,2023-02-28,254
N92000002,Northern Ireland,nation,2023-02-27,240
N92000002,Northern Ireland,nation,2023-02-26,239
N92000002,Northern Ireland,nation,2023-02-25,234
N92000002,Northern Ireland,nation,2023-02-24,228
N92000002,Northern Ireland,nation,2023-02-23,240
N92000002,Northern Ireland,nation,2023-02-22,241
N92000002,Northern Ireland,nation,2023-02-21,253
N92000002,Northern Ireland,nation,2023-02-20,268
N92000002,Northern Ireland,nation,2023-02-19,278
N92000002,Northern Ireland,nation,2023-02-18,268
N92000002,Northern Ireland,nation,2023-02-17,265
N92000002,Northern Ireland,nation,2023-02-16,268
N92000002,Northern Ireland,nation,2023-02-15,272
N92000002,Northern Ireland,nation,2023-02-14,281
N92000002,Northern Ireland,nation,2023-02-13,290
N92000002,Northern Ireland,nation,2023-02-12,290
N92000002,Northern Ireland,nation,2023-02-11,285
N92000002,Northern Ireland,nation,2023-02-10,284
N92000002,Northern Ireland,nation,2023-02-09,298
N92000002,Northern Ireland,nation,2023-02-08,307
N92000002,Northern Ireland,nation,2023-02-07,308
N92000002,Northern Ireland,nation,2023-02-06,305
N92000002,Northern Ireland,nation,2023-02-05,307
N92000002,Northern Ireland,nation,2023-02-04,309
N92000002,Northern Ireland,nation,2023-02-03,313
N92000002,Northern Ireland,nation,2023-02-02,327
N92000002,Northern Ireland,nation,2023-02-01,343
N92000002,Northern Ireland,nation,2023-01-31,354
N92000002,Northern Ireland,nation,2023-01-30,365
N92000002,Northern Ireland,nation,2023-01-29,369
N92000002,Northern Ireland,nation,2023-01-28,360
N92000002,Northern Ireland,nation,2023-01-27,363
N92000002,Northern Ireland,nation,2023-01-26,361
N92000002,Northern Ireland,nation,2023-01-25,364
N92000002,Northern Ireland,nation,2023-01-24,380
N92000002,Northern Ireland,nation,2023-01-23,382
N92000002,Northern Ireland,nation,2023-01-22,396
N92000002,Northern Ireland,nation,2023-01-21,397
N92000002,Northern Ireland,nation,2023-01-20,400
N92000002,Northern Ireland,nation,2023-01-19,420
N92000002,Northern Ireland,nation,2023-01-18,438
N92000002,Northern Ireland,nation,2023-01-17,468
N92000002,Northern Ireland,nation,2023-01-16,485
N92000002,Northern Ireland,nation,2023-01-15,500
N92000002,Northern Ireland,nation,2023-01-14,502
N92000002,Northern Ireland,nation,2023-01-13,501
N92000002,Northern Ireland,nation,2023-01-12,539
N92000002,Northern Ireland,nation,2023-01-11,546
N92000002,Northern Ireland,nation,2023-01-10,574
N92000002,Northern Ireland,nation,2023-01-09,591
N92000002,Northern Ireland,nation,2023-01-08,600
N92000002,Northern Ireland,nation,2023-01-07,606
N92000002,Northern Ireland,nation,2023-01-06,602
N92000002,Northern Ireland,nation,2023-01-05,635
N92000002,Northern Ireland,nation,2023-01-04,651
N92000002,Northern Ireland,nation,2023-01-03,651
N92000002,Northern Ireland,nation,2023-01-02,661
N92000002,Northern Ireland,nation,2023-01-01,643
N92000002,Northern Ireland,nation,2022-12-31,627
N92000002,Northern Ireland,nation,2022-12-30,613
N92000002,Northern Ireland,nation,2022-12-29,598
N92000002,Northern Ireland,nation,2022-12-28,588
N92000002,Northern Ireland,nation,2022-12-27,572
N92000002,Northern Ireland,nation,2022-12-26,541
N92000002,Northern Ireland,nation,2022-12-25,517
N92000002,Northern Ireland,nation,2022-12-24,500
N92000002,Northern Ireland,nation,2022-12-23,502
N92000002,Northern Ireland,nation,2022-12-22,522
N92000002,Northern Ireland,nation,2022-12-21,535
N92000002,Northern Ireland,nation,2022-12-20,545
N92000002,Northern Ireland,nation,2022-12-19,536
N92000002,Northern Ireland,nation,2022-12-18,522
N92000002,Northern Ireland,nation,2022-12-17,511
N92000002,Northern Ireland,nation,2022-12-16,501
N92000002,Northern Ireland,nation,2022-12-15,503
N92000002,Northern Ireland,nation,2022-12-14,487
N92000002,Northern Ireland,nation,2022-12-13,480
N92000002,Northern Ireland,nation,2022-12-12,463
N92000002,Northern Ireland,nation,2022-12-11,454
N92000002,Northern Ireland,nation,2022-12-10,438
N92000002,Northern Ireland,nation,2022-12-09,431
N92000002,Northern Ireland,nation,2022-12-08,428
N92000002,Northern Ireland,nation,2022-12-07,424
N92000002,Northern Ireland,nation,2022-12-06,421
N92000002,Northern Ireland,nation,2022-12-05,421
N92000002,Northern Ireland,nation,2022-12-04,427
N92000002,Northern Ireland,nation,2022-12-03,417
N92000002,Northern Ireland,nation,2022-12-02,411
N92000002,Northern Ireland,nation,2022-12-01,419
N92000002,Northern Ireland,nation,2022-11-30,415
N92000002,Northern Ireland,nation,2022-11-29,411
N92000002,Northern Ireland,nation,2022-11-28,404
N92000002,Northern Ireland,nation,2022-11-27,411
N92000002,Northern Ireland,nation,2022-11-26,394
