areaCode,areaName,areaType,date,hospitalCases
S92000003,Scotland,nation,2023-03-27,1345
S92000003,Scotland,nation,2023-03-26,1336
S92000003,Scotland,nation,2023-03-25,1317
S92000003,Scotland,nation,2023-03-24,1320
S92000003,Scotland,nation,2023-03-23,1332
S92000003,Scotland,nation,2023-03-22,1303
S92000003,Scotland,nation,2023-03-21,1307
S92000003,Scotland,nation,2023-03-20,1231
S92000003,Scotland,nation,2023-03-19,1189
S92000003,Scotland,nation,2023-03-18,1156
S92000003,Scotland,nation,2023-03-17,1141
S92000003,Scotland,nation,2023-03-16,1113
S92000003,Scotland,nation,2023-03-15,1068
S92000003,Scotland,nation,2023-03-14,1018
S92000003,Scotland,nation,2023-03-13,975
S92000003,Scotland,nation,2023-03-12,921
S92000003,Scotland,nation,2023-03-11,923
S92000003,Scotland,nation,2023-03-10,897
S92000003,Scotland,nation,2023-03-09,902
S92000003,Scotland,nation,2023-03-08,904
S92000003,Scotland,nation,2023-03-07,910
S92000003,Scotland,nation,2023-03-06,852
S92000003,Scotland,nation,2023-03-05,828
S92000003,Scotland,nation,2023-03-04,833
S92000003,Scotland,nation,2023-03-03,853
S92000003,Scotland,nation,2023-03-02,820
S92000003,Scotland,nation,2023-03-01,797
S92000003,Scotland,nation,2023-02-28,757
S92000003,Scotland,nation,2023-02-27,731
S92000003,Scotland,nation,2023-02-26,697
S92000003,Scotland,nation,2023-02-25,721
S92000003,Scotland,nation,2023-02-24,713
S92000003,Scotland,nation,2023-02-23,718
S92000003,Scotland,nation,2023-02-22,715
S92000003,Scotland,nation,2023-02-21,707
S92000003,Scotland,nation,2023-02-20,705
S92000003,Scotland,nation,2023-02-19,702
S92000003,Scotland,nation,2023-02-18,712
S92000003,Scotland,nation,2023-02-17,731
S92000003,Scotland,nation,2023-02-16,721
S92000003,Scotland,nation,2023-02-15,716
S92000003,Scotland,nation,2023-02-14,715
S92000003,Scotland,nation,2023-02-13,688
S92000003,Scotland,nation,2023-02-12,685
S92000003,Scotland,nation,2023-02-11,692
S92000003,Scotland,nation,2023-02-10,691
S92000003,Scotland,nation,2023-02-09,718
S92000003,Scotland,nation,2023-02-08,725
S92000003,Scotland,nation,2023-02-07,713
S92000003,Scotland,nation,2023-02-06,716
S92000003,Scotland,nation,2023-02-05,707
S92000003,Scotland,nation,2023-02-04,732
S92000003,Scotland,nation,2023-02-03,716
S92000003,Scotland,nation,2023-02-02,710
S92000003,Scotland,nation,2023-02-01,721
S92000003,Scotland,nation,2023-01-31,708
S92000003,Scotland,nation,2023-01-30,715
S92000003,Scotland,nation,2023-01-29,700
S92000003,Scotland,nation,2023-01-28,702
S92000003,Scotland,nation,2023-01-27,699
S92000003,Scotland,nation,2023-01-26,735
S92000003,Scotland,nation,2023-01-25,777
S92000003,Scotland,nation,2023-01-24,808
S92000003,Scotland,nation,2023-01-23,797
S92000003,Scotland,nation,2023-01-22,814
S92000003,Scotland,nation,2023-01-21,819
S92000003,Scotland,nation,2023-01-20,872
S92000003,Scotland,nation,2023-01-19,934
S92000003,Scotland,nation,2023-01-18,955
S92000003,Scotland,nation,2023-01-17,1035
S92000003,Scotland,nation,2023-01-16,1036
S92000003,Scotland,nation,2023-01-15,1074
S92000003,Scotland,nation,2023-01-14,1134
S92000003,Scotland,nation,2023-01-13,1134
S92000003,Scotland,nation,2023-01-12,1173
S92000003,Scotland,nation,2023-01-11,1223
S92000003,Scotland,nation,2023-01-10,1257
S92000003,Scotland,nation,2023-01-09,1275
S92000003,Scotland,nation,2023-01-08,1246
S92000003,Scotland,nation,2023-01-07,1252
S92000003,Scotland,nation,2023-01-06,1291
