areaCode,areaName,areaType,date,hospitalCases
W92000004,Wales,nation,2023-03-30,0
W92000004,Wales,nation,2023-03-29,641
W92000004,Wales,nation,2023-03-28,0
W92000004,Wales,nation,2023-03-27,0
W92000004,Wales,nation,2023-03-26,0
W92000004,Wales,nation,2023-03-25,0
W92000004,Wales,nation,2023-03-24,0
W92000004,Wales,nation,2023-03-23,0
W92000004,Wales,nation,2023-03-22,697
W92000004,Wales,nation,2023-03-21,0
W92000004,Wales,nation,2023-03-20,0
W92000004,Wales,nation,2023-03-19,0
W92000004,Wales,nation,2023-03-18,0
W92000004,Wales,nation,2023-03-17,0
W92000004,Wales,nation,2023-03-16,0
W92000004,Wales,nation,2023-03-15,805
W92000004,Wales,nation,2023-03-14,0
W92000004,Wales,nation,2023-03-13,0
W92000004,Wales,nation,2023-03-12,0
W92000004,Wales,nation,2023-03-11,0
W92000004,Wales,nation,2023-03-10,0
W92000004,Wales,nation,2023-03-09,0
W92000004,Wales,nation,2023-03-08,611
W92000004,Wales,nation,2023-03-07,0
W92000004,Wales,nation,2023-03-06,0
W92000004,Wales,nation,2023-03-05,0
W92000004,Wales,nation,2023-03-04,0
W92000004,Wales,nation,2023-03-03,0
W92000004,Wales,nation,2023-03-02,0
W92000004,Wales,nation,2023-03-01,477
W92000004,Wales,nation,2023-02-28,0
W92000004,Wales,nation,2023-02-27,0
W92000004,Wales,nation,2023-02-26,0
W92000004,Wales,nation,2023-02-25,0
W92000004,Wales,nation,2023-02-24,0
W92000004,Wales,nation,2023-02-23,0
W92000004,Wales,nation,2023-02-22,462
W92000004,Wales,nation,2023-02-21,0
W92000004,Wales,nation,2023-02-20,0
W92000004,Wales,nation,2023-02-19,0
W92000004,Wales,nation,2023-02-18,0
W92000004,Wales,nation,2023-02-17,0
W92000004,Wales,nation,2023-02-16,0
W92000004,Wales,nation,2023-02-15,396
W92000004,Wales,nation,2023-02-14,0
W92000004,Wales,nation,2023-02-13,0
W92000004,Wales,nation,2023-02-12,0
W92000004,Wales,nation,2023-02-11,0
W92000004,Wales,nation,2023-02-10,378
W92000004,Wales,nation,2023-02-09,372
W92000004,Wales,nation,2023-02-08,377
W92000004,Wales,nation,2023-02-07,379
W92000004,Wales,nation,2023-02-06,352
W92000004,Wales,nation,2023-02-05,358
W92000004,Wales,nation,2023-02-04,352
W92000004,Wales,nation,2023-02-03,315
W92000004,Wales,nation,2023-02-02,330
W92000004,Wales,nation,2023-02-01,328
W92000004,Wales,nation,2023-01-31,324
W92000004,Wales,nation,2023-01-30,347
W92000004,Wales,nation,2023-01-29,353
W92000004,Wales,nation,2023-01-28,358
W92000004,Wales,nation,2023-01-27,368
W92000004,Wales,nation,2023-01-26,351
W92000004,Wales,nation,2023-01-25,367
W92000004,Wales,nation,2023-01-24,366
W92000004,Wales,nation,2023-01-23,393
W92000004,Wales,nation,2023-01-22,385
W92000004,Wales,nation,2023-01-21,399
W92000004,Wales,nation,2023-01-20,419
W92000004,Wales,nation,2023-01-19,433
W92000004,Wales,nation,2023-01-18,447
W92000004,Wales,nation,2023-01-17,485
W92000004,Wales,nation,2023-01-16,472
W92000004,Wales,nation,2023-01-15,461
W92000004,Wales,nation,2023-01-14,492
W92000004,Wales,nation,2023-01-13,541
W92000004,Wales,nation,2023-01-12,577
W92000004,Wales,nation,2023-01-11,560
W92000004,Wales,nation,2023-01-10,604
W92000004,Wales,nation,2023-01-09,637
W92000004,Wales,nation,2023-01-08,693
W92000004,Wales,nation,2023-01-07,680
W92000004,Wales,nation,2023-01-06,678
W92000004,Wales,nation,2023-01-05,720
W92000004,Wales,nation,2023-01-04,742
W92000004,Wales,nation,2023-01-03,787
W92000004,Wales,nation,2023-01-02,791
W92000004,Wales,nation,2023-01-01,779
W92000004,Wales,nation,2022-12-31,737
W92000004,Wales,nation,2022-12-30,720
W92000004,Wales,nation,2022-12-29,687
W92000004,Wales,nation,2022-12-28,704
W92000004,Wales,nation,2022-12-27,718
W92000004,Wales,nation,2022-12-26,687
W92000004,Wales,nation,2022-12-25,691
W92000004,Wales,nation,2022-12-24,702
W92000004,Wales,nation,2022-12-23,691
W92000004,Wales,nation,2022-12-22,689
W92000004,Wales,nation,2022-12-21,663
W92000004,Wales,nation,2022-12-20,666
W92000004,Wales,nation,2022-12-19,642
W92000004,Wales,nation,2022-12-18,583
W92000004,Wales,nation,2022-12-17,565
W92000004,Wales,nation,2022-12-16,558
W92000004,Wales,nation,2022-12-15,558
W92000004,Wales,nation,2022-12-14,510
W92000004,Wales,nation,2022-12-13,502
W92000004,Wales,nation,2022-12-12,469
W92000004,Wales,nation,2022-12-11,442
W92000004,Wales,nation,2022-12-10,423
W92000004,Wales,nation,2022-12-09,405
W92000004,Wales,nation,2022-12-08,412
W92000004,Wales,nation,2022-12-07,375
W92000004,Wales,nation,2022-12-06,363
W92000004,Wales,nation,2022-12-05,371
W92000004,Wales,nation,2022-12-04,363
W92000004,Wales,nation,2022-12-03,354
W92000004,Wales,nation,2022-12-02,354
W92000004,Wales,nation,2022-12-01,344
W92000004,Wales,nation,2022-11-30,347
W92000004,Wales,nation,2022-11-29,341
W92000004,Wales,nation,2022-11-28,344
W92000004,Wales,nation,2022-11-27,349
W92000004,Wales,nation,2022-11-26,348
W92000004,Wales,nation,2022-11-25,363
W92000004,Wales,nation,2022-11-24,352
W92000004,Wales,nation,2022-11-23,373
W92000004,Wales,nation,2022-11-22,356
W92000004,Wales,nation,2022-11-21,355
W92000004,Wales,nation,2022-11-20,367
W92000004,Wales,nation,2022-11-19,353
